优先序,项目编号,项目名称,业主类型,应收账款余额(万元),已到期未付(万元),账龄区间,风险分层,建议动作,责任部门,升级路径,预计回收难度,人工复核事项
1,P2022-001,某水利项目,政府,2128,0,>3年,黑色,暂停催收/先推动竣工结算/结算完成后重新评估/同步评估坏账计提,商务部+财务部,若结算完成仍不回款→法律评估→报集团核销,极高,竣工结算审计是否已启动/预计结算金额/是否需计提减值
2,P2023-002,某房建项目A,民企,1134,1134,2-3年,红色,向业主发送正式律师函/评估诉讼可行性/同步了解业主经营状况/暂停后续合作,清欠办+法务部,若律师函无效→诉前财产保全→诉讼,高,业主经营状况/是否存在可查封资产/合同管辖约定
3,P2023-003,某房建项目B,民企,1440,1440,1-2年,红色,了解业主困难原因/尝试商谈分期还款计划/调研业主其他项目经营状况/准备律师函,清欠办,若分期方案未落实→发律师函→诉讼,高,业主经营状况/是否已被其他债权人起诉
4,P2021-001,某市政管网项目,城投,1550,0,>3年,橙色,暂停催收/先推动竣工决算批复/结算完成后重新确权/确认质保金到期日,商务部+财务部,竣工决算后重新评估/若2年内仍不回款→法律评估,中高,竣工决算批复进度/质保金比例和到期日/是否已计提减值
5,P2023-004,某市政道路项目B,城投,2499,1999,1-2年,橙色,跟进业主分期还款计划执行/如未按时还款→升级现场催收+高层对接/确认质保金到期日,清欠办+财务部,若分期计划未执行→现场催收+高层对接,中,分期还款协议是否盖章/质保金到期日/是否已确权
6,P2023-001,某市政道路项目,政府,1530,765,1-2年,黄色,跟进催收函回复/核实到期未付的具体原因/电话+现场催收/确认质保金到期日,财务部+商务部,若1个月后无回复→升级现场催收+高层对接,中,业主未回复原因/是否存在质量争议/质保金金额和到期日
7,P2024-003,某铁路项目A,政府,2800,525,6个月-1年,黄色,跟进财政拨款进度/持续电话沟通/准备现场催收,财务部,若2个月后未到款→发催收函→高层对接,中低,财政拨款进度/是否因政策原因延迟
8,P2024-001,某公路项目,城投,840,315,6个月-1年,黄色,按约定时间跟进回款/到期未回→立即发催收函,财务部,若未按时回款→发催收函,低,业主回款承诺是否兑现/是否存在扣款争议
9,P2024-002,某城轨项目B,国企,2880,1080,6个月-1年,黄色,确认业主已签收催收函/电话跟进/了解付款计划,财务部,若1个月后无回复→现场催收,低,业主签收后是否有回复/是否存在合同争议
10,P2025-001,某EPC项目,政府,1500,0,<6个月,绿色,正常回款跟踪/按合同付款节点跟进/暂不催收,财务部+商务部,到期未回→发催收函,极低,无需立即复核/正常监控
